Equipos,Ingresos,Gastos,Balance Total,I.E
Club Deportivo Huachipato,690.000,1.230.000,-537.000,€
CD Palestino,3.400.000,1.060.000,2.340.000,€
CSD Colo Colo,2.270.000,1.000.000,1.270.000,€
CD Universidad Católica,0,895.000,-895.000,€
CD O'Higgins,2.810.000,530.000,2.280.000,€
CD Cobresal,0,265.000,-265.000,€
Club de Deportes Antofagasta,225.000,0,-225.000,€
CDP Curicó Unido,578.000,200.000,378.000,€
Universidad de Chile,4.330.000,0,4.330.000,€
Santiago Wanderers,0,0,0,€
Unión Española,0,0,0,€
Universidad Concepción,1.500.000,0,1.500.000,€
Deportes La Serena,0,0,0,€
Audax Italiano,3.070.000,0,3.070.000,€
CD Everton,0,0,0,€
Coquimbo Unido,270.000,0,270.000,€
Club Deportes Iquique,0,0,0,€
Unión La Calera,0,0,0,€
